1431 out of 4078 wrong corrections
('abouta', 'about a', ('about',))
('aboutit', 'about it', ('about',))
('aboutthe', 'about the', ['aboutthe'])
('abondons', 'abandons', ('abandon',))
('infalability', 'infallibility', ['infalability'])
('infered', 'inferred', ('injured',))
('infilitrate', 'infiltrate', ('infiltrated',))
('informtion', 'information', ['informtion'])
('ingenius', 'ingenious', ['ingenius'])
('initally', 'initially', ('minimally',))
('initation', 'initiation', ('invitation',))
('innoculated', 'inoculated', ['innoculated'])
('inpeach', 'impeach', ('peach',))
('inpolite', 'impolite', ('polite',))
('insectiverous', 'insectivorous', ['insectiverous'])
('insensative', 'insensitive', ['insensative'])
('inseperable', 'inseparable', ['inseperable'])
('insistance', 'insistence', ('resistance',))
('instade', 'instead', ('inside',))
('instuction', 'instruction', ['instuction'])
('instutionalized', 'institutionalized', ['instutionalized'])
('intelectual', 'intellectual', ['intelectual'])
('inteligence', 'intelligence', ['inteligence'])
('intepretator', 'interpretor', ['intepretator'])
('interchangable', 'interchangeable', ['interchangable'])
('interchangably', 'interchangeably', ['interchangably'])
('intercontinential', 'intercontinental', ['intercontinential'])
('intercontinetal', 'intercontinental', ['intercontinetal'])
('interelated', 'interrelated', ('intergrated',))
('intergrated', 'integrated', ['intergrated'])
('interm', 'interim', ('intern',))
('interpet', 'interpret', ('internet',))
('interrugum', 'interregnum', ['interrugum'])
('intially', 'initially', ['intially'])
('intrusted', 'entrusted', ('trusted',))
('intutively', 'intuitively', ['intutively'])
('irelevent', 'irrelevant', ('relevant',))
('iritated', 'irritated', ('irrigated',))
('ironicly', 'ironically', ['ironicly'])
('Israelies', 'Israelis', ('israelites',))
('Janurary', 'January', ('january',))
('Januray', 'January', ('january',))
('Japanes', 'Japanese', ('japanese',))
('Johanine', 'Johannine', ('johannine',))
('Jospeh', 'Joseph', ['jospeh'])
('journied', 'journeyed', ('journey',))
('journies', 'journeys', ('journey',))
('jstu', 'just', ('jntu',))
('Juadaism', 'Judaism', ('judaism',))
('Juadism', 'Judaism', ('judaism',))
('klenex', 'kleenex', ('lenox',))
('knifes', 'knives', ['knifes'])
('kwno', 'know', ('kwon',))
('lattitude', 'latitude', ('attitude',))
('lavae', 'larvae', ('lava',))
('layed', 'laid', ('played',))
('levetate', 'levitate', ('leverage',))
('levetated', 'levitated', ('leveraged',))
('levetates', 'levitates', ['levetates'])
('levetating', 'levitating', ('leveraging',))
('libitarianisn', 'libertarianism', ['libitarianisn'])
('lieing', 'lying', ('living',))
('lightyear', 'light year', ('lighter',))
('lightyears', 'light years', ['lightyears'])
('listners', 'listeners', ('sisters',))
('literaly', 'literally', ('literary',))
('literture', 'literature', ['literture'])
('loosing', 'losing', ('looking',))
('lotharingen', 'lothringen', ['lotharingen'])
('lsat', 'last', ['lsat'])
('lukid', 'likud', ('lucid',))
('lveo', 'love', ('leo',))
('Lybia', 'Libya', ('libia',))
('maintainence', 'maintenance', ['maintainence'])
('maintioned', 'mentioned', ['maintioned'])
('makse', 'makes', ('make',))
('Malcom', 'Malcolm', ['malcom'])
('maltesian', 'Maltese', ('malaysian',))
('mamal', 'mammal', ('mama',))
('maneouvre', 'manoeuvre', ('maneuver',))
('maneouvred', 'manoeuvred', ('manoeuvres',))
('maneouvring', 'manoeuvring', ('maneuvering',))
('manoeuverability', 'maneuverability', ['manoeuverability'])
('mantained', 'maintained', ('maintainer',))
('markes', 'marks', ('market',))
('marrtyred', 'martyred', ['marrtyred'])
('Massachussets', 'Massachusetts', ['massachussets'])
('Massachussetts', 'Massachusetts', ('massachusetts',))
('massmedia', 'mass media', ['massmedia'])
('materalists', 'materialist', ('naturalists',))
('mathematican', 'mathematician', ('mathematical',))
('mccarthyst', 'mccarthyist', ('mccarthy',))
('mediciney', 'mediciny', ('medicine',))
('mediterainnean', 'mediterranean', ['mediterainnean'])
('Mediteranean', 'Mediterranean', ('mediterranean',))
('meerkrat', 'meerkat', ('meerkats',))
('melieux', 'milieux', ('lemieux',))
('membranaphone', 'membranophone', ['membranaphone'])
('menally', 'mentally', ('mcnally',))
('metalurgic', 'metallurgic', ['metalurgic'])
('Michagan', 'Michigan', ('michigan',))
('midwifes', 'midwives', ('midwife',))
('mileau', 'milieu', ('miles',))
('mileu', 'milieu', ('miles',))
('miligram', 'milligram', ('milgram',))
('millenialism', 'millennialism', ('amillennialism',))
('millenium', 'millennium', ['millenium'])
('millepede', 'millipede', ('millipedes',))
('millitary', 'military', ['millitary'])
('Misouri', 'Missouri', ('missouri',))
('mispell', 'misspell', ['mispell'])
('mispelling', 'misspelling', ('dispelling',))
('missen', 'mizzen', ('missed',))
('Missisipi', 'Mississippi', ('mississippi',))
('Missisippi', 'Mississippi', ('mississippi',))
('mkea', 'make', ('mea',))
('moderm', 'modem', ('modern',))
('moent', 'moment', ('mount',))
('mohammedans', 'muslims', ('mohammetans',))
('momento', 'memento', ['momento'])
('monickers', 'monikers', ('knickers',))
('monolite', 'monolithic', ('monolith',))
('Monserrat', 'Montserrat', ('montserrat',))
('montanous', 'mountainous', ('montanas',))
('Montnana', 'Montana', ('montana',))
('monts', 'months', ('month',))
('montypic', 'monotypic', ['montypic'])
('Morisette', 'Morissette', ('mariette',))
('Morrisette', 'Morissette', ['morrisette'])
('mosture', 'moisture', ('posture',))
('mudering', 'murdering', ('modeling',))
('muhammadan', 'muslim', ['muhammadan'])
('multipled', 'multiplied', ('multiple',))
('multiplers', 'multipliers', ('multiples',))
('muncipality', 'municipality', ['muncipality'])
('munnicipality', 'municipality', ['munnicipality'])
('mutiliated', 'mutilated', ['mutiliated'])
('mysogynist', 'misogynist', ['mysogynist'])
('Mythraic', 'Mithraic', ('mythic',))
('Naploeon', 'Napoleon', ('napoleon',))
('Napolean', 'Napoleon', ('napoleon',))
('Napoleonian', 'Napoleonic', ('napoleonic',))
('naturaly', 'naturally', ('natural',))
('naturely', 'naturally', ('naturel',))
('Nazereth', 'Nazareth', ('nazareth',))
('necessiate', 'necessitate', ('necessity',))
('neglible', 'negligible', ['neglible'])
('negligable', 'negligible', ['negligable'])
('neigbourhood', 'neighbourhood', ('neighborhood',))
('nessasarily', 'necessarily', ['nessasarily'])
('nessecary', 'necessary', ['nessecary'])
('neverthless', 'nevertheless', ['neverthless'])
('nickle', 'nickel', ('tickle',))
('ninties', '1990s', ('nineties',))
('ninty', 'ninety', ('ninth',))
('nkwo', 'know', ['nkwo'])
('noncombatents', 'noncombatants', ['noncombatents'])
('nontheless', 'nonetheless', ['nontheless'])
('noone', 'no one', ('none',))
('notabley', 'notably', ('notable',))
('noteably', 'notably', ('notable',))
('noticable', 'noticeable', ('notable',))
('noticible', 'noticeable', ['noticible'])
('notwhithstanding', 'notwithstanding', ['notwhithstanding'])
('Novermber', 'November', ('november',))
('nowdays', 'nowadays', ('mondays',))
('nto', 'not', ('to',))
('Nullabour', 'Nullarbor', ['nullabour'])
('Nuremburg', 'Nuremberg', ('nuremberg',))
('obstruced', 'obstructed', ['obstruced'])
('ocasionaly', 'occasionally', ('occasional',))
('ocasioned', 'occasioned', ['ocasioned'])
('ocassion', 'occasion', ('occassion',))
('ocassionaly', 'occasionally', ['ocassionaly'])
('ocassioned', 'occasioned', ['ocassioned'])
('occassion', 'occasion', ['occassion'])
('occassionaly', 'occasionally', ('occasional',))
('occassioned', 'occasioned', ('occassion',))
('occured', 'occurred', ('secured',))
('occuring', 'occurring', ['occuring'])
('octohedra', 'octahedra', ['octohedra'])
('octohedral', 'octahedral', ['octohedral'])
('octohedron', 'octahedron', ['octohedron'])
('ocurr', 'occur', ('our',))
('ocurred', 'occurred', ('cured',))
('offical', 'official', ['offical'])
('officaly', 'officially', ('offical',))
('officialy', 'officially', ('official',))
('omited', 'omitted', ('united',))
('omiting', 'omitting', ('writing',))
('omlette', 'omelette', ('palette',))
('ommision', 'omission', ('commission',))
('ommited', 'omitted', ('limited',))
('ommiting', 'omitting', ('limiting',))
('ommitted', 'omitted', ('committed',))
('ommitting', 'omitting', ('committing',))
('omniverous', 'omnivorous', ['omniverous'])
('omniverously', 'omnivorously', ['omniverously'])
('openess', 'openness', ('oneness',))
('opose', 'oppose', ('pose',))
('oposition', 'opposition', ('position',))
('opthalmology', 'ophthalmology', ['opthalmology'])
('orded', 'ordered', ('order',))
('organim', 'organism', ('organic',))
('orginal', 'original', ['orginal'])
('orginize', 'organise', ('organize',))
('oridinarily', 'ordinarily', ['oridinarily'])
('origanaly', 'originally', ('original',))
('originaly', 'originally', ('original',))
('otherwordly', 'otherworldly', ['otherwordly'])
('overshaddowed', 'overshadowed', ['overshaddowed'])
('overthere', 'over there', ('overture',))
('oximoron', 'oxymoron', ('oxymorons',))
('paide', 'paid', ('pride',))
('paliamentarian', 'parliamentarian', ('parliamentarians',))
('Palistian', 'Palestinian', ('pakistan',))
('Palistinian', 'Palestinian', ('palestinian',))
('Palistinians', 'Palestinians', ('palestinians',))
('pallete', 'palette', ('pallet',))
('pamflet', 'pamphlet', ('pamplet',))
('pamplet', 'pamphlet', ['pamplet'])
('Papanicalou', 'Papanicolaou', ['papanicalou'])
('paralelly', 'parallelly', ('parallel',))
('paralely', 'parallelly', ('parallel',))
('parallely', 'parallelly', ('parallel',))
('paranthesis', 'parenthesis', ('parentheses',))
('parrallelly', 'parallelly', ['parrallelly'])
('parrallely', 'parallelly', ('parallel',))
('partialy', 'partially', ('partial',))
('particually', 'particularly', ('partially',))
('particuarly', 'particularly', ['particuarly'])
('particularily', 'particularly', ('particularism',))
('particulary', 'particularly', ('particular',))
('pary', 'party', ('part',))
('pased', 'passed', ('based',))
('passerbys', 'passersby', ['passerbys'])
('payed', 'paid', ('played',))
('peacefuland', 'peaceful and', ['peacefuland'])
('peculure', 'peculiar', ['peculure'])
('peformed', 'performed', ('reformed',))
('peice', 'piece', ('price',))
('Peloponnes', 'Peloponnesus', ('peloponnese',))
('penerator', 'penetrator', ('generator',))
('Pennyslvania', 'Pennsylvania', ('pennsylvania',))
('pensle', 'pencil', ('pendle',))
('percepted', 'perceived', ('percenter',))
('perenially', 'perennially', ['perenially'])
('perjery', 'perjury', ('perry',))
('perjorative', 'pejorative', ('performative',))
('permissable', 'permissible', ['permissable'])
('perogative', 'prerogative', ['perogative'])
('perpindicular', 'perpendicular', ['perpindicular'])
('personell', 'personnel', ('personal',))
('pertubations', 'perturbations', ('perturbation',))
('pessiary', 'pessary', ('bestiary',))
('petetion', 'petition', ('peterson',))
('Pharoah', 'Pharaoh', ['pharoah'])
('phenomenonal', 'phenomenal', ('phenomenon',))
('phenomenonly', 'phenomenally', ('phenomenon',))
('Philipines', 'Philippines', ('philippines',))
('Phillipine', 'Philippine', ('phillipines',))
('Phillipines', 'Philippines', ['phillipines'])
('Phillippines', 'Philippines', ('philippines',))
('phillosophically', 'philosophically', ['phillosophically'])
('philosphy', 'philosophy', ['philosphy'])
('Phonecian', 'Phoenecian', ('phoenician',))
('physicaly', 'physically', ('physical',))
('pich', 'pitch', ('rich',))
('pilgrimmages', 'pilgrimages', ('pilgrimage',))
('pinnaple', 'pineapple', ('pinnacle',))
('plagarism', 'plagiarism', ('paganism',))
('planed', 'planned', ('planet',))
('plateu', 'plateau', ('plate',))
('playwrite', 'playwright', ['playwrite'])
('playwrites', 'playwrights', ['playwrites'])
('plebicite', 'plebiscite', ['plebicite'])
('polical', 'political', ('policy',))
('politican', 'politician', ('political',))
('polute', 'pollute', ('polite',))
('polutes', 'pollutes', ('volumes',))
('poluting', 'polluting', ('routing',))
('polution', 'pollution', ('solution',))
('polyphonyic', 'polyphonic', ['polyphonyic'])
('polysaccaride', 'polysaccharide', ['polysaccaride'])
('polysaccharid', 'polysaccharide', ['polysaccharid'])
('porshan', 'portion', ('persian',))
('porshon', 'portion', ('person',))
('portayed', 'portrayed', ('portage',))
('Portugese', 'Portuguese', ('portuguese',))
('portugues', 'Portuguese', ['portugues'])
('posess', 'possess', ('poses',))
('posesses', 'possesses', ('processes',))
('posseses', 'possesses', ('possessed',))
('possessess', 'possesses', ('possessed',))
('Postdam', 'Potsdam', ('postwar',))
('postive', 'positive', ['postive'])
('potatos', 'potatoes', ('potato',))
('potrayed', 'portrayed', ('betrayed',))
('practicaly', 'practically', ('practical',))
('practicly', 'practically', ('practice',))
('prairy', 'prairie', ('fairy',))
('pratice', 'practice', ['pratice'])
('precedessor', 'predecessor', ['precedessor'])
('preceed', 'precede', ('proceed',))
('preceeds', 'precedes', ('proceeds',))
('predomiantly', 'predominately', ['predomiantly'])
('prefering', 'preferring', ('preparing',))
('preferrably', 'preferably', ['preferrably'])
('premeired', 'premiered', ('premiere',))
('premillenial', 'premillennial', ['premillenial'])
('preminence', 'preeminence', ('prominence',))
('Premonasterians', 'Premonstratensians', ['premonasterians'])
('preocupation', 'preoccupation', ['preocupation'])
('prepair', 'prepare', ('repair',))
('prepatory', 'preparatory', ('predatory',))
('presumabely', 'presumably', ['presumabely'])
('presumibly', 'presumably', ['presumibly'])
('prevelant', 'prevalent', ('prevent',))
('preverse', 'perverse', ('reverse',))
('primarly', 'primarily', ('primary',))
('primatively', 'primitively', ['primatively'])
('primatives', 'primitives', ('primitive',))
('principaly', 'principality', ('principal',))
('principly', 'principally', ('principle',))
('priveledges', 'privileges', ('priviledges',))
('priviledges', 'privileges', ['priviledges'])
('processer', 'processor', ('processes',))
('proclaimation', 'proclamation', ['proclaimation'])
('proclamed', 'proclaimed', ('programed',))
('proffesed', 'professed', ['proffesed'])
('proffesional', 'professional', ('profesional',))
('profilic', 'prolific', ('profiles',))
('progessed', 'progressed', ('processed',))
('progidy', 'prodigy', ('provide',))
('prominantly', 'prominently', ['prominantly'])
('promiscous', 'promiscuous', ['promiscous'])
('pronomial', 'pronominal', ('pronoia',))
('pronouced', 'pronounced', ('produced',))
('pronounched', 'pronounced', ('pronounce',))
('proove', 'prove', ('groove',))
('propmted', 'prompted', ('proposed',))
('propogate', 'propagate', ('propagated',))
('propogates', 'propagates', ('propagated',))
('propogation', 'propagation', ['propogation'])
('proprietory', 'proprietary', ('proprietor',))
('proseletyzing', 'proselytizing', ['proseletyzing'])
('protaganists', 'protagonists', ('protagonist',))
('protrayed', 'portrayed', ('programed',))
('protruberance', 'protuberance', ['protruberance'])
('protruberances', 'protuberances', ['protruberances'])
('prouncements', 'pronouncements', ['prouncements'])
('provded', 'provided', ('proved',))
('provisiosn', 'provision', ('provisions',))
('provisonal', 'provisional', ['provisonal'])
('pseudononymous', 'pseudonymous', ['pseudononymous'])
('publically', 'publicly', ('biblically',))
('Pucini', 'Puccini', ('panini',))
('Puertorrican', 'Puerto Rican', ['puertorrican'])
('Puertorricans', 'Puerto Ricans', ['puertorricans'])
('puritannical', 'puritanical', ['puritannical'])
('purposedly', 'purposely', ('supposedly',))
('purpotedly', 'purportedly', ['purpotedly'])
('pursuades', 'persuades', ('persuade',))
('pususading', 'persuading', ['pususading'])
('pyscic', 'psychic', ('cystic',))
('quarantaine', 'quarantine', ('quarantined',))
('Queenland', 'Queensland', ('queensland',))
('quitted', 'quit', ('quilted',))
('racaus', 'raucous', ('macau',))
('radify', 'ratify', ('radio',))
('reacing', 'reaching', ('reading',))
('readmition', 'readmission', ('rendition',))
('realy', 'really', ('real',))
('rebounce', 'rebound', ('resource',))
('reccomending', 'recommending', ['reccomending'])
('reccommending', 'recommending', ['reccommending'])
('reccuring', 'recurring', ('securing',))
('receeded', 'receded', ('recorded',))
('receeding', 'receding', ('recording',))
('receivedfrom', 'received from', ['receivedfrom'])
('rechargable', 'rechargeable', ['rechargable'])
('recide', 'reside', ('recipe',))
('recided', 'resided', ('decided',))
('reciding', 'residing', ('deciding',))
('reciept', 'receipt', ('recieps',))
('recieve', 'receive', ('relieve',))
('recieved', 'received', ('relieve',))
('recieves', 'receives', ('relieves',))
('recieving', 'receiving', ('relieving',))
('recived', 'received', ('revived',))
('recivership', 'receivership', ['recivership'])
('recomending', 'recommending', ['recomending'])
('recomends', 'recommends', ('recommend',))
('recompence', 'recompense', ['recompence'])
('reconized', 'recognized', ('recognize',))
('recordproducer', 'record producer', ['recordproducer'])
('recuring', 'recurring', ('securing',))
('refedendum', 'referendum', ['refedendum'])
('refered', 'referred', ('referee',))
('referencs', 'references', ('reference',))
('referiang', 'referring', ('revering',))
('refering', 'referring', ('revering',))
('referrs', 'refers', ('referrals',))
('reffered', 'referred', ('referee',))
('reffering', 'referring', ('rendering',))
('refrence', 'reference', ['refrence'])
('refrences', 'references', ['refrences'])
('refrers', 'refers', ('readers',))
('reguarly', 'regularly', ['reguarly'])
('regularily', 'regularly', ['regularily'])
('rehersal', 'rehearsal', ('reversal',))
('reigining', 'reigning', ('reimagining',))
('relected', 'reelected', ('selected',))
('releived', 'relieved', ('relived',))
('releiver', 'reliever', ('receiver',))
('relient', 'reliant', ['relient'])
('relinqushment', 'relinquishment', ['relinqushment'])
('remaing', 'remaining', ('remaking',))
('rememberable', 'memorable', ('rememberance',))
('rememberance', 'remembrance', ['rememberance'])
('remenicent', 'reminiscent', ['remenicent'])
('reminent', 'remnant', ('eminent',))
('reminescent', 'reminiscent', ('luminescent',))
('reminscent', 'reminiscent', ['reminscent'])
('reminsicent', 'reminiscent', ['reminsicent'])
('renedered', 'rende', ('rendered',))
('rennovated', 'renovated', ('renovate',))
('rentors', 'renters', ('mentors',))
('reoccurrence', 'recurrence', ('occurrence',))
('reorganision', 'reorganisation', ('reorganising',))
('repectively', 'respectively', ['repectively'])
('repentent', 'repentant', ('dependent',))
('repeteadly', 'repeatedly', ['repeteadly'])
('repetion', 'repetition', ('reception',))
('reponse', 'response', ['reponse'])
('reportadly', 'reportedly', ['reportadly'])
('representive', 'representative', ('representing',))
('repsectively', 'respectively', ['repsectively'])
('republis', 'republics', ('republic',))
('resembelance', 'resemblance', ('rememberance',))
('resembes', 'resembles', ('remember',))
('resemblence', 'resemblance', ['resemblence'])
('resignement', 'resignment', ('refinement',))
('resistable', 'resistible', ('resistance',))
('resistence', 'resistance', ['resistence'])
('respectivly', 'respectively', ('respectably',))
('ressemblance', 'resemblance', ['ressemblance'])
('ressemble', 'resemble', ('assemble',))
('ressembled', 'resembled', ('assembled',))
('ressemblence', 'resemblance', ['ressemblence'])
('ressembling', 'resembling', ('assembling',))
('resssurecting', 'resurrecting', ['resssurecting'])
('ressurect', 'resurrect', ['ressurect'])
('restaraunteur', 'restaurateur', ['restaraunteur'])
('restaraunteurs', 'restaurateurs', ['restaraunteurs'])
('restauranteurs', 'restaurateurs', ('restaurateur',))
('restauration', 'restoration', ('restauracion',))
('resteraunt', 'restaurant', ('restraint',))
('resteraunts', 'restaurants', ('restraints',))
('retalitated', 'retaliated', ['retalitated'])
('retreive', 'retrieve', ('retriever',))
('returnd', 'returned', ('return',))
('revaluated', 'reevaluated', ('evaluated',))
('reveral', 'reversal', ('reveal',))
('Rockerfeller', 'Rockefeller', ('rockefeller',))
('roomate', 'roommate', ['roomate'])
('rougly', 'roughly', ('rough',))
('rucuperate', 'recuperate', ['rucuperate'])
('rudimentatry', 'rudimentary', ['rudimentatry'])
('russina', 'Russian', ('russian',))
('Russion', 'Russian', ('russian',))
('rythem', 'rhythm', ('them',))
('sacreligious', 'sacrilegious', ['sacreligious'])
('Sacremento', 'Sacramento', ('sacramento',))
('sanctionning', 'sanctioning', ['sanctionning'])
('Sanhedrim', 'Sanhedrin', ['sanhedrim'])
('santioned', 'sanctioned', ['santioned'])
('sargant', 'sergeant', ('sargent',))
('sargeant', 'sergeant', ['sargeant'])
('Saterday', 'Saturday', ('saturday',))
('Saterdays', 'Saturdays', ('saturdays',))
('satisfactority', 'satisfactorily', ['satisfactority'])
('satric', 'satiric', ('patrick',))
('satrically', 'satirically', ['satrically'])
('saught', 'sought', ('taught',))
('scandanavia', 'Scandinavia', ('scandinavia',))
('seach', 'search', ['seach'])
('seached', 'searched', ('reached',))
('seaches', 'searches', ('beaches',))
('sedereal', 'sidereal', ('federal',))
('seeked', 'sought', ('seeker',))
('seguoys', 'segues', ('seguso',))
('seing', 'seeing', ('being',))
('sensure', 'censure', ('ensure',))
('seperatist', 'separatist', ('separatists',))
('sepina', 'subpoena', ('selina',))
('sergent', 'sergeant', ('serpent',))
('severley', 'severely', ('beverley',))
('severly', 'severely', ('beverly',))
('shadasloo', 'shadaloo', ['shadasloo'])
('shadoloo', 'shadaloo', ['shadoloo'])
('shiped', 'shipped', ('shaped',))
('shiping', 'shipping', ('shaping',))
('shorly', 'shortly', ('shorty',))
('shortwhile', 'short while', ['shortwhile'])
('shouldnt', 'should not', ['shouldnt'])
('shreak', 'shriek', ('streak',))
('shrinked', 'shrunk', ('shrink',))
('sideral', 'sidereal', ('federal',))
('signfies', 'signifies', ['signfies'])
('signitories', 'signatories', ['signitories'])
('signitory', 'signatory', ['signitory'])
('similarily', 'similarly', ('similarity',))
('similiarly', 'similarly', ['similiarly'])
('simpley', 'simply', ('simple',))
('singsog', 'singsong', ('singing',))
('Sionist', 'Zionist', ('zionist',))
('Sionists', 'Zionists', ('zionists',))
('Sixtin', 'Sistine', ('sixth',))
('Skagerak', 'Skagerrak', ['skagerak'])
('slaugterhouses', 'slaughterhouses', ('slaughterhouse',))
('slippy', 'slippery', ('sloppy',))
('slowy', 'slowly', ('slow',))
('smealting', 'smelting', ('stealing',))
('sneeks', 'sneaks', ('seeks',))
('snese', 'sneeze', ('sense',))
('soilders', 'soldiers', ('soilder',))
('soley', 'solely', ('sole',))
('soliliquy', 'soliloquy', ['soliliquy'])
('soluable', 'soluble', ('solvable',))
('sophicated', 'sophisticated', ['sophicated'])
('spainish', 'Spanish', ('spanish',))
('spermatozoan', 'spermatozoon', ('spermatozoa',))
('sponser', 'sponsor', ('spenser',))
('spred', 'spread', ('speed',))
('stainlees', 'stainless', ['stainlees'])
('standars', 'standards', ('standard',))
('stilus', 'stylus', ('stilts',))
('stingent', 'stringent', ['stingent'])
('stiring', 'stirring', ('string',))
('stirrs', 'stirs', ('storrs',))
('stong', 'strong', ('stone',))
('strictist', 'strictest', ['strictist'])
('strikely', 'strikingly', ('strike',))
('stubborness', 'stubbornness', ['stubborness'])
('subcatagories', 'subcategories', ['subcatagories'])
('subcatagory', 'subcategory', ['subcatagory'])
('subconsiously', 'subconsciously', ['subconsiously'])
('subpecies', 'subspecies', ('species',))
('subsidary', 'subsidiary', ['subsidary'])
('subsiduary', 'subsidiary', ['subsiduary'])
('subsquently', 'subsequently', ['subsquently'])
('substract', 'subtract', ('abstract',))
('substracted', 'subtracted', ('substrates',))
('substracts', 'subtracts', ('abstracts',))
('subterranian', 'subterranean', ['subterranian'])
('suburburban', 'suburban', ['suburburban'])
('succeded', 'succeeded', ('succeed',))
('succeds', 'succeeds', ('success',))
('succesful', 'successful', ['succesful'])
('succesfuly', 'successfully', ('succesful',))
('successfull', 'successful', ['successfull'])
('succsessfull', 'successful', ('successfull',))
('suceeds', 'succeeds', ('success',))
('sucesful', 'successful', ('succesful',))
('sucesfully', 'successfully', ('sucessfully',))
('sucesfuly', 'successfully', ('succesful',))
('sucessfull', 'successful', ('successfull',))
('sucessfully', 'successfully', ['sucessfully'])
('sucessfuly', 'successfully', ('sucessfully',))
('sucessot', 'successor', ('sucesos',))
('sufficently', 'sufficiently', ['sufficently'])
('suop', 'soup', ('stop',))
('superceeded', 'superseded', ['superceeded'])
('suposes', 'supposes', ('poses',))
('suposing', 'supposing', ('opposing',))
('suppliementing', 'supplementing', ['suppliementing'])
('supposingly', 'supposedly', ['supposingly'])
('supresses', 'suppresses', ('successes',))
('supressing', 'suppressing', ('expressing',))
('suprising', 'surprising', ['suprising'])
('suprize', 'surprise', ('supreme',))
('suprizing', 'surprising', ('suprising',))
('surplanted', 'supplanted', ['surplanted'])
('surrepetitiously', 'surreptitiously', ['surrepetitiously'])
('surreptiously', 'surreptitiously', ['surreptiously'])
('surrouding', 'surrounding', ['surrouding'])
('surrundering', 'surrendering', ['surrundering'])
('surveill', 'surveil', ('survial',))
('surviver', 'survivor', ('survive',))
('suseptable', 'susceptible', ['suseptable'])
('suseptible', 'susceptible', ['suseptible'])
('swaers', 'swears', ('wars',))
('syas', 'says', ('seas',))
('symetrically', 'symmetrically', ['symetrically'])
('symmetral', 'symmetric', ('symmetry',))
('symmetricaly', 'symmetrically', ('symmetrical',))
('synonomous', 'synonymous', ['synonomous'])
('syphyllis', 'syphilis', ('phyllis',))
('tabacco', 'tobacco', ['tabacco'])
('tast', 'taste', ('test',))
('tath', 'that', ('math',))
('teached', 'taught', ('teacher',))
('teh', 'the', ['teh'])
('temperarily', 'temporarily', ['temperarily'])
('tenacle', 'tentacle', ('menace',))
('tennisplayer', 'tennis player', ['tennisplayer'])
('tepmorarily', 'temporarily', ['tepmorarily'])
('testiclular', 'testicular', ['testiclular'])
('theese', 'these', ('cheese',))
('theif', 'thief', ('their',))
('thn', 'then', ('the',))
('thne', 'then', ('the',))
('threatend', 'threatened', ('threatens',))
('thru', 'through', ['thru'])
('tihkn', 'think', ('than',))
('timeschedule', 'time schedule', ['timeschedule'])
('tlaking', 'talking', ('taking',))
('tobbaco', 'tobacco', ('tobaco',))
('toke', 'took', ['toke'])
('Tolkein', 'Tolkien', ('tolkien',))
('toriodal', 'toroidal', ('torsional',))
('tormenters', 'tormentors', ('tormented',))
('torpeados', 'torpedoes', ('torpedo',))
('torpedos', 'torpedoes', ('torpedo',))
('tothe', 'to the', ('toth',))
('toubles', 'troubles', ('doubles',))
('tounge', 'tongue', ('lounge',))
('tradionally', 'traditionally', ('rationally',))
('traditionaly', 'traditionally', ('traditional',))
('trafficed', 'trafficked', ('traffic',))
('transcendentational', 'transcendental', ['transcendentational'])
('transfered', 'transferred', ('transfer',))
('translater', 'translator', ('translated',))
('transporation', 'transportation', ['transporation'])
('tremelo', 'tremolo', ('tremere',))
('tremelos', 'tremolos', ['tremelos'])
('triology', 'trilogy', ['triology'])
('troling', 'trolling', ('tooling',))
('troup', 'troupe', ('group',))
('truely', 'truly', ['truely'])
('Tuscon', 'Tucson', ('tuscan',))
('tust', 'trust', ('test',))
('twon', 'town', ('two',))
('tyhe', 'they', ('the',))
('typicaly', 'typically', ('typical',))
('tyranies', 'tyrannies', ('tyranids',))
('tyrranies', 'tyrannies', ('tyranids',))
('Ukranian', 'Ukrainian', ('ukrainian',))
('ultimely', 'ultimately', ('untimely',))
('unacompanied', 'unaccompanied', ['unacompanied'])
('unanymous', 'unanimous', ('anonymous',))
('unballance', 'unbalance', ('unbalanced',))
('unbeknowst', 'unbeknownst', ['unbeknowst'])
('unchallengable', 'unchallengeable', ['unchallengable'])
('unchangable', 'unchangeable', ['unchangable'])
('uncompetive', 'uncompetitive', ['uncompetive'])
('unconcious', 'unconscious', ['unconcious'])
('unconciousness', 'unconsciousness', ['unconciousness'])
('unconfortability', 'discomfort', ['unconfortability'])
('uncontitutional', 'unconstitutional', ['uncontitutional'])
('undecideable', 'undecidable', ['undecideable'])
('undoubtely', 'undoubtedly', ['undoubtely'])
('uneccesary', 'unnecessary', ['uneccesary'])
('unecessary', 'unnecessary', ('necessary',))
('unforetunately', 'unfortunately', ['unforetunately'])
('unforgetable', 'unforgettable', ['unforgetable'])
('unfortunatley', 'unfortunately', ('unfortunate',))
('unfortunatly', 'unfortunately', ('unfortunate',))
('unfourtunately', 'unfortunately', ['unfourtunately'])
('unihabited', 'uninhabited', ('inhabited',))
('unilateraly', 'unilaterally', ['unilateraly'])
('unilatreal', 'unilateral', ['unilatreal'])
('unilatreally', 'unilaterally', ['unilatreally'])
('uninterruped', 'uninterrupted', ['uninterruped'])
('uninterupted', 'uninterrupted', ('uninterested',))
('UnitesStates', 'UnitedStates', ['unitesstates'])
('unneccesarily', 'unnecessarily', ['unneccesarily'])
('unneccessarily', 'unnecessarily', ['unneccessarily'])
